,Strain,Type,Rating,Effects,Flavor,Description,strain,id,status,sort,name,slug,image,description,type,crosses,breeder,effects,ailment,flavor,location,terpenes,thc,thca,thcv,cbd,cbda,cbdv,cbn,cbg,cbgm,cbgv,cbc,cbcv,cbv,cbe,cbt,cbl
482,Dancehall,hybrid,4.6,"Happy,Relaxed,Uplifted,Energetic,Creative","Earthy,Citrus,Flowery","Dancehall, a 60/40 sativa-dominant hybrid, was bred by Reggae Seeds by combining Juanita La Lagrimosa (a Mexican-Afghani-Spanish hybrid) with Kalijah (Blue Heaven crossed with a Mexican-Afghani hybrid). Named after a style of Reggae played in times of celebration, Dancehall will lift your spirits to a happier place where creativity and social bonding thrive. As its flowers mature, vibrant shades of green, blue, purple, and red twist underneath its crystal trichomes while aromas both sweet and spicy dance from cracked buds. ",dancehall,5484,2,0,Dancehall,,,,Hybrid,,Reggae Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,Dank-Schrader,indica,4.9,"Relaxed,Happy,Uplifted,Euphoric,Hungry","Tropical,Pine,Earthy","Dank Schrader is the house strain at The Healing Center in Vancouver, BC. The strain was developed during the final season of Breaking Bad and is named after DEA Agent Hank Schrader, a character on the show. Dank Schrader crosses Rockstar Kush with Bubba Kush to create a potent and relaxing indica-driven hybrid that has tested out as high as 27% THC according to dispensary’s lab results, performed by Hedron Analytical.",dank-schrader,1830,2,0,Dank Schrader,,,,Indica,,,"Relaxed, Happy, Uplifted, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Inflammation, Depression, Insomnia","Pine, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,Dank-Sinatra,hybrid,5.0,"Happy,Uplifted,Relaxed,Sleepy,Euphoric","Diesel,Berry,Tropical","Dank Sinatra is an indica-dominant hybrid named for “Old Blue Eyes,” Frank Sinatra. This strain was created by crossing LA Affie and Hash Plant, leading to a happy, cerebral buzz that settles down into the body. The weighted relaxation helps consumers abate stress and depression while preparing the body for rest. Dank Sinatra has pungent, earthy flavors intermixed with subtle notes of citrus and diesel.  ",dank-sinatra,5622,2,0,Dank Sinatra,,,,Hybrid,,Bodhi Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,Double-D,indica,4.3,"Euphoric,Happy,Uplifted,Aroused,Energetic","Sweet,Pungent,Skunk","Originally named Double D as a reference to the large buds on these plants (we’ll let you make the connection there), breeder KC Brains decided to rename the strain Danky Doodle at the suggestion of some American friends in order to avoid confusion with the similarly named Double Dutch. Danky Doodle certainly isn’t a shy plant; it grows like the weed it is and will make its presence known with its pungent sweet smell. Plants flower at 9 to 11 weeks and should provide a high yield of large buds covered in a rich frost. This plant is a cross between several strains, and it’s no surprise that Big Bud is included in its lineage along with the strains Viking and the breeder’s own KC 636. The result is a strong indica that provides full body relief no matter what you call it.",double-d,116,1,0,Double D,,,,Sativa,0,PAPA GANJA,,,,"Lake Forest, CA",,1800,,,0,,,0,,,,,,,,,
486,Dark-Side-Of-The-Moon,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Uplifted","Berry,Earthy,Spicy/Herbal","From Exotic Genetix comes Dark Side of the Moon, an indica strain that pays homage to the legendary 1973 Pink Floyd album. A cross between Spirit in the Sky and Green Ribbon, Dark Side of the Moon flowers bloom with a starry coat of crystal trichomes wreathed by dark purple leaves, giving the strain an almost celestial appearance. Earthy, hashy flavors lead the way with full, sweet fruity notes to follow.",dark-side-of-the-moon,1831,2,0,Dark Side of the Moon,,,,Hybrid,,Exotic Genetix,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Insomnia, Depression, Pain","Earthy, Berry, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,Dark-Star,indica,4.4,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Earthy,Pungent,Skunk","Dark Star’s true indica effects are as spacey as its name suggests: a deep, relaxed sensation throughout the body accompanied by a heavy cerebral calm. Though celestial in its effects, the strain is more likely homage to the Grateful Dead’s song “Dark Star.” A cross between Purple Kush and Mazar-I-Sharif, Dark Star is a CBD-rich indica ideal for treating pain and anxiety. This dark--almost bluish--strain was first bred indoors by T.H. Seeds, and comes as a challenge to many growers with its slow, 10-week flowering period. Its sour-smelling buds are dense and compact, ornamented with crystals and copper hairs. ",dark-star,1832,2,0,Dark Star,,,,Indica,,,"Relaxed, Happy, Sleepy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious","Pain, Stress, Insomnia, Depression","Earthy, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Darkside-Og,indica,4.6,"Sleepy,Relaxed,Euphoric,Hungry,Happy","Lemon,Citrus,Earthy","Darkside OG is a heavy-hitting Kush combo from Colorado Seed Inc. With the OG parentage of Dark Star OG x Rug Burn OG, this strain is a useful and sedating option. The dark, frosted buds emanate an earthy, floral aroma that lingers in the air. Enjoy this strain before bed, as Darkside OG locks the consumer to the couch and envelopes the body in warm, calming haze. ",darkside-og,1833,2,0,Darkside OG,,,,Indica,,,"Relaxed, Euphoric, Sleepy, Happy, Hungry, Dry Mouth","Muscle Spasms, Seizures, Insomnia","Sweet, Earthy, Lemon",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,Darth-Vader-Og,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Tingly","Earthy,Pine,Grape","Darth Vader OG is a heavy indica marijuana strain that truly shows its “Dark Side” with its violet and forest green flowers. This strain’s true force comes through in its effects, which provide complete body relaxation and sleepiness. Ideal for treating insomnia, this strain may not knock you out immediately, but it will definitely quiet the mind and put all major productive plans on hold. A true “purple” strain, Darth Vader OG has a sweet grape smell but a comparatively subdued taste.",darth-vader-og,109,1,0,Darth Vader OG,,,,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid","Insomnia, Stress, Pain, Depression","Grape, Earthy, Sweet",,,127,,,0,,,0,,,,,,,,,
490,Deadhead-Og,hybrid,4.4,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Diesel","A modern West Coast classic, Deadhead OG was created by master breeder Skunk VA of Cali Connection Seeds by crossing two already legendary strains, Chemdawg 91 and the SFV OG Kush.  Known as a very hearty and pungent strain, most phenotypes present an earthy, piney smell and taste, though some can lean more to the diesel aromas of the SFV.  As a cross of two very potent strains, Deadhead OG regularly reaches THC levels over 20%.  Most users describe the high as cerebral and stimulating but with a relaxed body feel.",deadhead-og,7159,2,0,DeadHead OG,,,,Hybrid,,The Cali Connection,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491,Deadwood,indica,3.9,"Happy,Talkative,Uplifted,Giggly,Relaxed","Berry,Lavender,Earthy","Deadwood is potent indica cross between Bubba Kush and Sweet Pink Grapefruit. These robust indica strains come together to create good medicine for those suffering from insomnia, anxiety, and chronic pain. The aroma is sweet and skunky with spicy notes on the finish. Use Deadwood in the evening, as its effects will ground all future plans. Expect heavy sedation, weight on the eyelids and muscles, and a stone-solid buzz.   ",deadwood,1834,2,0,Deadwood,,,,Indica,,,"Relaxed, Sleepy, Creative, Focused, Happy","Stress, Muscle Spasms, Pain","Berry, Lavender, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,Death-Bubba,indica,4.7,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Earthy,Pungent,Sweet","Death Bubba, bred by Matteo Suleyman of Vancouver BC's Sea to Sky, is a beautiful, purple-hued strain with trichromes and terpenes abound. Created by crossing Death Star and Bubba Kush, this pungent pairing reeks of grass and skunk while the smoke is sweet, earthy, and clean on the palate. Its semi-sedative effects lock the consumer to the couch, unknotting tension and soothing minor physical discomfort with ease. This stinky BC native has been serving cannabis enthusiasts since 2012 and was most recently smelled off Fraser St. the Vancouver metro area.",death-bubba,1835,2,0,Death Bubba,,,,Indica,,,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious","Insomnia, Pain, Stress, Lack of Appetite, Depression","Sweet, Earthy",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,Death-Star,indica,4.6,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Diesel,Pungent","Death Star is the potent cross of Sensi Star and Sour Diesel and has the shared sativa and indica effects of its parents. It has a mixed taste that combines sweet, skunk, and fuel aromas into a very potent fragrance that isn’t easy to hide. This strain may not have the ability to destroy planets, but it does have quite the powerful buzz. Effects can be slow to onset, but once they do, Death Star takes away all cares and replaces them with a state of relaxed euphoria. Great for daytime or nighttime use, this Ohio native now has fans throughout the galaxy.",death-star,110,1,0,Death Star,,,,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Nausea",Earthy,,,0,,,0,,,0,,,,,,,,,
494,Deathstar-Og,indica,4.6,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Diesel,Earthy,Skunk","Death Star OG is a potent cross between Sour Diesel, Sensi Star, and OG Kush.",deathstar-og,3619,2,0,Deathstar OG,,,,Hybrid,,Unknown Breeder,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,Deep-Cheese,hybrid,4.3,"Relaxed,Uplifted,Creative,Hungry,Talkative","Cheese,Pungent,Skunk","Deep Cheese is the result of years of selective inbreeding aimed at emphasizing the legendary funk of sharp cheese flavors that fans of Cheese strains have grown attached to. By crossing two exemplary phenotypes of Cheese, breeder Dinafem has intensified the aroma and stabilized the genetics to produce a balance of indica and sativa effects that relax the body and stimulate the mind.",deep-cheese,6987,2,0,Deep Cheese,,,,Hybrid,,Dinafem Seeds,,,,,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,Deep-Chunk,indica,4.3,"Happy,Relaxed,Sleepy,Uplifted,Creative","Plum,Earthy,Ammonia","This pure indica from Afghanistan was introduced to Northern California by breeder Tom Hill in the late 1970s. Deep Chunk combines a relatively short flowering time with exceptional resin production. It is often found with hints of purple or deep reds in the tight, compact flowers. The aroma of this stout, broad-leafed plant is regularly described with flavors of earth, hash, chocolate, and pine. Classified by many as 'old school,' Deep Chunk is sure to induce feelings of nostalgia that coincide with its ability to relieve ailments such as insomnia, digestive issues, and chronic pain.",deep-chunk,602,1,0,Deep Chunk,,,,Hybrid,,Tom Hill,"Happy, Relaxed, Sleepy, Uplifted, Creative, Dry Mouth","Insomnia, Pain, Stress","Earthy, Ammonia",,,0,,,0,,,0,,,,,,,,,
497,Deep-Purple,indica,3.9,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Grape,Earthy,Sweet","Deep Purple from TGA Genetics was created to include the best traits from Purple Urkle and Querkle, and to bring out more of that incredible grape taste.  A strong indica high, Deep Purple is calming and relaxing.",deep-purple,111,1,0,Deep Purple,,,,Hybrid,0,TGA Seeds,"Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Grape, Earthy, Sweet",,,127,,,0,,,0,,,,,,,,,
498,Deep-Sleep,indica,4.5,"Relaxed,Euphoric,Sleepy,Tingly,Happy","Pungent,Earthy,Sweet","Also known as P.O. 4, Deep Sleep is a cross of the Larry OG and Pre-98 Bubba Kush from North Hollywood breeders Progressive Options. This indica-dominant hybrid is quite aptly named, as it quickly reduces users to a puddle of sleepy relaxation. The flavor of Deep Sleep is very sweet and fruity on the inhale with a nice OG funk on the exhale. Fans of OG Kush will love these thick, resinous, purple-tinted flowers.",deep-sleep,1105,2,0,Deep Sleep,,,,Indica,,PAPA GANJA,"Relaxed, Sleepy, Euphoric, Happy, Tingly, Dry Mouth, Anxious","Pain, Insomnia, Depression, Lack of Appetite, Nausea","Earthy, Sweet, Pine","Lake Forest, CA",,1300,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,Delahaze,sativa,4.5,"Uplifted,Happy,Energetic,Focused,Talkative","Citrus,Mango,Sweet","DelaHaze by Paradise Seeds is a 70% sativa strain bred from Mango Haze and California Lemon Skunk genetics. To the delight of commercial growers, DelaHaze has the energetic effect profile of a Haze sativa while still offering sizeable yields and a moderate flowering time. Mango and citrus notes express themselves loudly and bring a sweet overtone to the strain's earthy, spicy aroma. Staying true to its Haze genetics, this sativa delivers uplifting cerebral energy that fuels creativity, focus, and happiness, and then tapers into calm relaxation in time.",delahaze,1473,2,0,DelaHaze,,,,Hybrid,,Paradise Seeds,"Uplifted, Happy, Energetic, Euphoric, Dry Mouth, Anxious","Depression, Stress, Pain, Lack of Appetite","Mango, Citrus, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,Denver-Maple,indica,4.4,"Relaxed,Sleepy,Giggly,Tingly,Uplifted","Sweet,Earthy,Pine",Denver Maple is an indica strain that took 3rd place in the 2014 Denver Cannabis Cup.,denver-maple,1837,2,0,Denver Maple,,,,Indica,,,"Relaxed, Sleepy, Uplifted, Happy, Dry Mouth","Stress, Depression","Sweet, Earthy, Pine",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,Destroyer,sativa,4.9,"Energetic,Uplifted,Euphoric,Giggly,Happy","Lavender,Ammonia,Sweet","Destroyer by CannaBiogen is a 100% sativa and CBG powerhouse created over seven years of breeding. Destroyer is the offspring of Meao Thai and a Mexican/Colombian cross, and emits a delicate fruity aroma intermixed with notes of lavender and floral sweetness. This high-THC strain develops beautiful frosted buds that offer consumers powerful psychoactive effects coupled with vigorous alertness. Enjoy this potent, nuanced sativa one hit at a time, as its THC content is designed for seasoned consumers. ",destroyer,604,1,0,Destroyer,,,,Hybrid,,Canna BioGen,"Energetic, Uplifted, Euphoric, Happy","Depression, Stress, Insomnia","Lavender, Ammonia, Sweet",,,0,,,0,,,0,,,,,,,,,
502,Devil-Fruit,indica,4.4,"Relaxed,Happy,Euphoric,Focused,Hungry","Spicy/Herbal,Pepper,Sweet",Devil Fruit is a 70% indica strain bred by Medical Seed Co. through crossing Shiskaberry and Great White Shark. This high-CBD Spanish strain is sweet and spicy in flavor and delivers a light cerebral stimulation followed by comfortable full-body effects. Outdoor Devil Fruit plants finish in the first half of October while indoor gardens flower in about 65 days.,devil-fruit,1838,2,0,Devil Fruit,,,,Hybrid,,Medical Seeds Co.,"Relaxed, Happy, Euphoric, Focused, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Depression, Insomnia, Pain","Pepper, Sweet",,,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503,Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted","Sweet,Earthy,Spicy/Herbal","With lineage from Grapefruit, Blueberry and South African Sativa, there is a sweet flavor to the Diablo cannabis strain. This indica has a purple hue, fruity and spicy flavors, and a THC content that tends to fall between 15-20%. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category.",diablo,112,1,0,Diablo,,,,Hybrid,0,Next Generation Seeds,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Inflammation",Earthy,"Los Angeles, CA",,1700,,,0,,,0,,,,,,,,,
504,Diablo,indica,4.1,"Happy,Tingly,Euphoric,Creative,Uplifted","Sweet,Earthy,Spicy/Herbal","With lineage from Grapefruit, Blueberry and South African Sativa, there is a sweet flavor to the Diablo cannabis strain. This indica has a purple hue, fruity and spicy flavors, and a THC content that tends to fall between 15-20%. Diablo has an indoor flowering time of 6-7 weeks and took second place at the 2002 BC Harvest Cup in the outdoor category.",diablo,606,1,0,Diablo,,,,Hybrid,,Next Generation Seeds,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Inflammation",Earthy,"Los Angeles, CA",,1700,,,0,,,0,,,,,,,,,
505,Diamond-Og,indica,4.5,"Relaxed,Sleepy,Happy,Uplifted,Euphoric","Earthy,Spicy/Herbal,Pine","Diamond OG is a precious gem of a strain that patients love for its potent and long-lasting effects. A true indica, this strain induces full-body relaxation that nixes pain and muscle spasms before settling into an overall laziness. It can leave you mentally euphoric in smaller doses, but it’s definitely not one for times when work or even wakefulness needs to happen. Diamond OG is the result of an unknown strain crossed with OG Kush and has the familiar OG aroma of citrus-pine supported by fuel undertones. These sparkling nugs will be condensed and have a strong odor; they’re definitely a beauty to show off. ",diamond-og,930,2,0,Diamond OG,,,,Hybrid,,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Lack of Appetite","Earthy, Pine","North Hollywood, CA",,1600,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
